A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

A	B	C	D	E	F	G	H	I
0	28.83357794	121.5760276	129.0153148	124.071458	97.59803717	87.08618745	100.2952457	76.40824397
28.83357794	0	36.10329627	48.9138083	89.47932996	130.8728483	67.13582437	117.7659241	104.833745
121.5760276	36.10329627	0	2.488471739	28.74882824	83.38910375	29.71121852	71.7847119	85.19500331
129.0153148	48.9138083	2.488471739	0	7.040141008	57.23120124	5.977996929	44.29926599	56.74760403
124.071458	89.47932996	28.74882824	7.040141008	0	31.4820836	2.226389816	20.19317634	34.8876114
97.59803717	130.8728483	83.38910375	57.23120124	31.4820836	0	27.97982577	13.31319562	18.49269665
87.08618745	67.13582437	29.71121852	5.977996929	2.226389816	27.97982577	0	13.07094857	15.34021748
100.2952457	117.7659241	71.7847119	44.29926599	20.19317634	13.31319562	13.07094857	0	14.59388673
76.40824397	104.833745	85.19500331	56.74760403	34.8876114	18.49269665	15.34021748	14.59388673	0

END
