KO->K,KO	KO->O,KO	OM->M,OM	OM->O,OM
1	1	1	1	0
2	0	0	1	0
3	0	0	1	0
4	0	0	1	0
5	0	1	1	0
6	1	0	1	1
7	0	0	1	0
8	0	0	1	0
9	0	2	1	0
10	0	0	1	0
11	1	0	1	0
12	0	1	1	0
13	1	0	1	0
14	0	1	1	0
15	0	0	1	0
16	0	0	1	0
17	0	0	1	0
18	0	0	1	0
19	0	0	1	0
20	0	0	1	1
21	1	1	1	0
22	1	0	1	1
23	0	0	1	0
24	1	1	1	0
25	0	0	2	0
26	0	1	2	1
27	0	0	1	0
28	0	0	1	0
29	0	0	1	0
30	0	0	1	0
31	0	0	1	0
32	0	0	1	0
33	0	0	0	0
34	1	1	1	0
35	2	0	1	0
36	0	0	1	0
37	2	1	1	0
38	0	1	1	0
39	1	1	1	0
40	0	0	1	0
41	0	0	1	0
42	1	1	1	0
43	0	0	1	0
44	0	0	1	0
45	1	0	1	0
46	0	0	1	0
47	0	0	1	0
48	0	0	1	0
49	1	1	0	0
50	0	0	1	0
